Sample,TimePoint,GLUT4_Surface,Glut4 Total
1,0,14957,237549
1,0,18060,308657
1,0,18100,285888
2,6,26471,237549
2,6,26715,308657
2,6,24098,285888
3,12,48664,237549
3,12,47570,308657
3,12,42652,285888
4,18,50711,237549
4,18,45904,308657
4,18,41539,285888
5,24,50120,237549
5,24,51073,308657
5,24,40321,285888
6,30,39235,237549
6,30,37851,308657
6,30,42282,285888
7,36,25988,237549
7,36,28097,308657
7,36,33626,285888
8,42,11436,237549
8,42,17378,308657
8,42,18917,285888
9,48,40718,237549
9,48,30027,308657
9,48,29415,285888
10,54,46103,237549
10,54,31810,308657
10,54,33149,285888
11,60,46058,237549
11,60,28964,308657
11,60,30334,285888
